	TCGA.A6.2675	TCGA.A6.4105	TCGA.A6.5656	TCGA.A6.5657	TCGA.A6.5659	TCGA.A6.5660	TCGA.A6.5661	TCGA.A6.5662	TCGA.A6.5664	TCGA.A6.5665	TCGA.A6.5666	TCGA.A6.5667	TCGA.A6.6137	TCGA.A6.6138	TCGA.A6.6140	TCGA.A6.6141	TCGA.A6.6142	TCGA.A6.6648	TCGA.A6.6649	TCGA.A6.6650	TCGA.A6.6651	TCGA.A6.6652	TCGA.A6.6653	TCGA.A6.6654	TCGA.A6.6780	TCGA.A6.6781	TCGA.A6.6782	TCGA.AA.3489	TCGA.AA.3496	TCGA.AA.3511	TCGA.AA.3655	TCGA.AA.3660	TCGA.AA.3662	TCGA.AA.3663	TCGA.AA.3697	TCGA.AA.3712	TCGA.AA.3713	TCGA.AD.5900	TCGA.AD.6548	TCGA.AD.6888	TCGA.AD.6889	TCGA.AD.6890	TCGA.AD.6895	TCGA.AD.6899	TCGA.AD.6901	TCGA.AD.6963	TCGA.AD.6964	TCGA.AD.6965	TCGA.AM.5820	TCGA.AM.5821	TCGA.AU.3779	TCGA.AU.6004	TCGA.AY.5543	TCGA.AY.6196	TCGA.AY.6197	TCGA.AY.6386	TCGA.AZ.4323	TCGA.AZ.4616	TCGA.AZ.5403	TCGA.AZ.5407	TCGA.AZ.6598	TCGA.AZ.6599	TCGA.AZ.6600	TCGA.AZ.6601	TCGA.AZ.6603	TCGA.AZ.6605	TCGA.AZ.6606	TCGA.AZ.6607	TCGA.AZ.6608	TCGA.CA.5254	TCGA.CA.5255	TCGA.CA.5796	TCGA.CA.5797	TCGA.CA.6715	TCGA.CA.6716	TCGA.CA.6717	TCGA.CA.6718	TCGA.CA.6719	TCGA.CK.4947	TCGA.CK.4948	TCGA.CK.4950	TCGA.CK.4952	TCGA.CK.5912	TCGA.CK.5913	TCGA.CK.5914	TCGA.CK.5915	TCGA.CK.5916	TCGA.CK.6746	TCGA.CK.6747	TCGA.CK.6748	TCGA.CK.6751	TCGA.CM.4743	TCGA.CM.4751	TCGA.CM.5344	TCGA.CM.5348	TCGA.CM.5349	TCGA.CM.5860	TCGA.CM.5861	TCGA.CM.5862	TCGA.CM.5863	TCGA.CM.5864	TCGA.CM.5868	TCGA.CM.6161	TCGA.CM.6162	TCGA.CM.6163	TCGA.CM.6164	TCGA.CM.6165	TCGA.CM.6166	TCGA.CM.6167	TCGA.CM.6168	TCGA.CM.6169	TCGA.CM.6170	TCGA.CM.6171	TCGA.CM.6172	TCGA.CM.6674	TCGA.CM.6675	TCGA.CM.6676	TCGA.CM.6677	TCGA.CM.6678	TCGA.CM.6679	TCGA.CM.6680	TCGA.D5.5537	TCGA.D5.5538	TCGA.D5.5539	TCGA.D5.5540	TCGA.D5.5541	TCGA.D5.6529	TCGA.D5.6530	TCGA.D5.6531	TCGA.D5.6532	TCGA.D5.6533	TCGA.D5.6534	TCGA.D5.6535	TCGA.D5.6536	TCGA.D5.6537	TCGA.D5.6538	TCGA.D5.6539	TCGA.D5.6540	TCGA.D5.6541	TCGA.D5.6898	TCGA.D5.6920	TCGA.D5.6922	TCGA.D5.6923	TCGA.D5.6924	TCGA.D5.6926	TCGA.D5.6927	TCGA.D5.6928	TCGA.D5.6929	TCGA.D5.6930	TCGA.D5.6931	TCGA.D5.6932	TCGA.D5.7000	TCGA.DM.A0X9	TCGA.DM.A0XD	TCGA.DM.A0XF	TCGA.DM.A1D0	TCGA.DM.A1D4	TCGA.DM.A1D6	TCGA.DM.A1D7	TCGA.DM.A1D8	TCGA.DM.A1D9	TCGA.DM.A1DA	TCGA.DM.A1DB	TCGA.DM.A1HA	TCGA.DM.A1HB	TCGA.DM.A280	TCGA.DM.A282	TCGA.DM.A285	TCGA.DM.A288	TCGA.DM.A28A	TCGA.DM.A28C	TCGA.DM.A28E	TCGA.DM.A28F	TCGA.DM.A28G	TCGA.DM.A28H	TCGA.DM.A28K	TCGA.DM.A28M	TCGA.F4.6459	TCGA.F4.6460	TCGA.F4.6461	TCGA.F4.6463	TCGA.F4.6569	TCGA.F4.6570	TCGA.F4.6703	TCGA.F4.6704	TCGA.F4.6805	TCGA.F4.6806	TCGA.F4.6807	TCGA.F4.6808	TCGA.F4.6809	TCGA.F4.6854	TCGA.F4.6855	TCGA.F4.6856	TCGA.G4.6293	TCGA.G4.6294	TCGA.G4.6295	TCGA.G4.6297	TCGA.G4.6298	TCGA.G4.6299	TCGA.G4.6302	TCGA.G4.6303	TCGA.G4.6304	TCGA.G4.6306	TCGA.G4.6307	TCGA.G4.6309	TCGA.G4.6310	TCGA.G4.6311	TCGA.G4.6314	TCGA.G4.6315	TCGA.G4.6317	TCGA.G4.6320	TCGA.G4.6321	TCGA.G4.6322	TCGA.G4.6323	TCGA.G4.6586	TCGA.G4.6588	TCGA.G4.6625	TCGA.G4.6626	TCGA.G4.6627	TCGA.G4.6628
?|652919	1.220664695	1.766691862	-0.145693961	-0.973006985	0.214920393	-0.973006985	-0.973006985	0.674504681	0.604690842	0.724732466	-0.973006985	-0.217420116	1.182196168	-0.973006985	-0.973006985	-0.497856556	-0.162764838	-0.973006985	1.227591179	1.324027975	0.884076386	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	1.366226867	1.457603387	-0.973006985	1.620309185	-0.973006985	-0.973006985	1.534009152	0.07947476	0.171601725	-0.286219637	0.577303544	-0.973006985	-0.973006985	-0.973006985	0.305143946	1.495586958	0.848557738	0.198060666	1.156063869	-0.973006985	-0.973006985	-0.973006985	1.439084759	-0.973006985	-0.973006985	1.316641806	-0.973006985	1.441139514	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	-0.973006985	0.914195338	-0.571721692	1.30648437	-0.313974828	-0.973006985	0.366090358	1.57955137	1.882119779	1.259966779	-0.973006985	-0.973006985	0.506659421	-0.973006985	0.45548353	1.021515526	-0.973006985	-0.973006985	0.449170841	1.368324161	-0.973006985	1.58213584	0.049321151	0.580286583	-0.973006985	-0.973006985	-0.536457304	-0.973006985	1.427368992	-0.973006985	-0.973006985	-0.973006985	0.002733384	-0.973006985	-0.973006985	-0.973006985	1.282344021	1.856343293	1.409471522	-0.973006985	-0.973006985	-0.973006985	1.392928553	1.137161237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|729884	0.250458689	0.017666088	-0.574083854	-0.175146601	-0.005379939	-0.274384639	-0.574083854	0.053969128	2.222792773	-0.574083854	-0.574083854	-0.574083854	-0.574083854	-0.574083854	-0.574083854	-0.172077688	2.361290038	-0.229447114	-0.341970273	-0.574083854	-0.280743691	-0.574083854	-0.574083854	-0.574083854	-0.237267014	-0.574083854	-0.574083854	-0.574083854	-0.574083854	-0.574083854	-0.24092262	-0.160373812	-0.211352404	-0.574083854	-0.574083854	0.493211451	-0.189335882	-0.574083854	-0.574083854	0.789623226	0.206309178	-0.574083854	-0.01638991	-0.318893031	-0.574083854	-0.574083854	-0.574083854	-0.224900524	-0.281512394	2.097378702	-0.574083854	-0.047132595	-0.574083854	-0.179849735	-0.574083854	0.137353676	0.196129691	0.005697384	-0.574083854	-0.189972124	-0.574083854	-0.032191444	-0.574083854	0.015676212	-0.574083854	-0.574083854	0.654252675	3.290283286	-0.574083854	-0.574083854	1.806338746	-0.574083854	-0.574083854	-0.574083854	-0.277499259	-0.574083854	1.089381605	1.609524686	-0.2784418	2.815121998	-0.574083854	0.097695405	-0.574083854	-0.574083854	-0.574083854	-0.574083854	-0.574083854	-0.574083854	-0.574083854	0.850966269	-0.574083854	2.19439907	0.79432671	-0.574083854	1.639797351	-0.198341068	-0.574083854	-0.574083854	3.333152665	0.174843242	-0.138441989	-0.317224611	6.155834287	-0.261751616	-0.574083854	-0.574083854	-0.574083854	-0.574083854	0.969259569	1.34391728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2BP1|54715	1.051400867	-0.275243209	-0.417820995	-0.78409932	1.354292608	0.547546584	-0.24566185	1.25757663	-0.181711739	1.481822091	-0.987427869	0.614717498	0.755457994	-0.701768842	0.715512757	0.288673886	-0.213143483	0.589346967	0.395654429	-0.270826753	-0.123736747	-0.987427869	-0.987427869	0.996465429	-0.987427869	-0.987427869	0.08899991	1.063006974	0.771959712	1.44181178	1.013115158	1.258404314	1.767979657	1.523182884	0.595633896	1.050448757	1.266042307	-0.987427869	-0.725501972	-0.745969769	-0.987427869	-0.632334022	-0.987427869	1.210823679	2.650161395	-0.987427869	-0.987427869	-0.987427869	-0.987427869	-0.987427869	-0.666640531	-0.987427869	-0.154602891	0.072887824	-0.530470181	-0.987427869	2.9626087	-0.987427869	1.227965115	-0.068905274	0.942080525	1.306189452	1.441100005	0.988236479	0.881958862	0.377560325	-0.721548955	-0.053171702	-0.531059376	-0.987427869	-0.987427869	1.607139615	-0.987427869	-0.987427869	1.125590224	-0.703191229	-0.987427869	-0.185373174	-0.51894637	-0.987427869	0.193420026	-0.987427869	0.071510554	-0.718906975	-0.987427869	-0.987427869	-0.667042788	-0.987427869	-0.748203585	1.533179206	-0.67421829	-0.987427869	0.386197961	-0.680846976	1.075908172	0.931999694	-0.061966297	-0.987427869	-0.602823096	1.571804559	-0.987427869	-0.429122859	-0.224196343	-0.084640539	2.413187694	0.706010486	0.372927148	-0.987427869	-0.259763052	0.334652209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1|144568	0.135257763	0.100676095	-0.109958783	-0.248328797	-0.459345361	0.032762653	0.310467424	-0.459345361	-0.459345361	0.193574265	-0.459345361	-0.459345361	0.489982121	-0.162885338	-0.459345361	-0.078893987	-0.459345361	-0.279658939	1.69145004	-0.459345361	-0.459345361	-0.459345361	-0.459345361	0.057350022	-0.459345361	-0.149184894	-0.459345361	-0.459345361	-0.459345361	-0.159342821	-0.459345361	-0.459345361	-0.116062869	-0.459345361	-0.459345361	-0.459345361	-0.459345361	0.917428035	-0.187515837	0.263146649	-0.459345361	-0.459345361	-0.459345361	-0.459345361	-0.123460686	-0.459345361	-0.459345361	-0.459345361	-0.459345361	0.29307033	-0.459345361	-0.459345361	-0.195557278	-0.459345361	-0.459345361	-0.459345361	2.607367842	0.266174399	-0.157550346	0.731823943	-0.459345361	-0.162230143	-0.459345361	0.098792913	-0.459345361	0.180641846	-0.459345361	5.738756181	0.17516673	-0.459345361	2.568575423	-0.459345361	-0.459345361	-0.459345361	-0.459345361	-0.164361506	1.114928303	-0.459345361	-0.459345361	3.639510352	-0.459345361	-0.459345361	-0.459345361	0.188468659	-0.459345361	-0.459345361	-0.126846264	5.549655471	-0.459345361	-0.188699942	-0.459345361	-0.459345361	0.055900214	0.085284261	-0.459345361	-0.103749175	-0.459345361	-0.459345361	-0.459345361	2.557402971	-0.459345361	-0.459345361	0.33274456	-0.459345361	-0.190224964	0.469838122	-0.459345361	0.165511491	-0.459345361	1.933044642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC|13	-0.604459574	0.322504416	0.565087997	2.293643074	-0.288966284	-0.905581698	2.183612371	-0.447662619	0.553780561	-1.419711436	0.582513955	-1.419711436	-0.699182024	-1.109984893	-0.583572038	-0.390457689	-0.171696532	-0.162072327	1.095505283	-1.419711436	0.125123309	-1.419711436	1.421339887	-0.323179185	-1.086689741	-1.095671357	1.892998129	-1.047355334	-0.443616385	-0.555005079	-0.67222648	-1.419711436	-0.464493206	-1.419711436	-0.729600408	-0.646054541	-0.779552072	1.728471571	-0.9245276	1.076827732	0.507169849	0.251013203	-0.688061104	-1.419711436	1.145974953	-0.480042596	-0.713137142	0.554286743	-0.379792422	1.882914606	-0.485667387	-0.898697695	0.027967291	-0.270061386	0.584904081	-0.716290157	-0.84351969	0.637911506	0.195534846	0.4654383	-1.419711436	-1.419711436	-0.445355382	-0.497632402	-0.350420308	-1.419711436	-1.131431531	1.322818852	0.107123464	1.699718563	1.783291519	0.081175318	3.578130755	0.646524057	-1.126468662	-0.334613326	-0.939909365	1.598204781	-0.048564616	-1.000549481	0.114049676	-0.069969028	-0.509938643	-0.197794382	-0.76031607	-0.342988097	-0.828266969	-1.108103837	-0.670209488	0.961091285	-1.419711436	0.517124255	1.271369833	-0.850709759	-0.9143242	2.334569595	1.831094003	0.151610337	-0.216540987	1.893412958	1.576480987	-0.971604686	-0.470672734	-0.333248081	0.044096936	0.040642481	-0.279858251	-0.40622877	-1.067168573	-0.600715115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12|26154	-0.144718741	-0.948507867	-0.948507867	0.318627185	-0.948507867	-0.948507867	2.276002471	0.306642189	2.021525437	-0.498437884	-0.059882526	-0.583118006	1.274895364	-0.948507867	-0.605885668	0.078468128	-0.948507867	-0.150107035	2.416704364	-0.948507867	-0.615651718	-0.948507867	-0.444242788	-0.948507867	0.14832092	-0.581353655	-0.748689311	-0.30077424	-0.190961502	0.076514463	-0.455322145	-0.948507867	-0.091725566	-0.69252345	-0.49317709	-0.721581358	-0.948507867	0.000528362	-0.621788786	-0.538998726	1.054091396	0.269894101	0.803856994	0.816524092	-0.948507867	-0.009700747	0.62684268	-0.948507867	1.99209892	-0.716976138	-0.557821143	0.090799211	-0.430595734	-0.948507867	-0.270584027	2.165619765	1.365724835	1.284832578	-0.740474792	1.169917478	-0.592368387	-0.743700666	-0.948507867	-0.255274472	-0.555122707	0.564081363	2.435025587	0.341562932	-0.105012271	1.173227651	2.419168778	1.042294239	-0.948507867	-0.022475165	-0.499351712	0.723747313	0.577788308	-0.948507867	0.109486218	0.083151889	0.294918657	0.696784789	-0.948507867	2.382023726	-0.513443084	-0.308767849	-0.948507867	0.073304735	0.618198731	-0.761946804	1.937136725	2.488436593	0.318762064	-0.948507867	0.846482195	-0.40598424	-0.948507867	1.016921386	-0.948507867	-0.733710032	1.415184666	-0.948507867	1.165570438	-0.480219036	-0.762998031	-0.775972387	-0.729478325	-0.948507867	-0.1008029	1.763106243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13|154664	-0.39659941	1.108821914	0.424228509	-0.887867936	0.530313379	-0.648186573	1.109439669	0.112877883	0.89075911	1.130632899	-1.605128826	-0.638243265	0.539094192	0.324744132	0.35145822	0.283668634	0.212513508	0.458810179	0.396071173	-0.30762231	-0.455769548	-0.91503248	-1.609220883	-1.465089161	-0.752752926	-0.775842925	0.044173529	-0.936014536	0.443742591	-1.312885703	0.34343249	-0.184180741	-0.77174178	0.529793637	0.246477273	0.015852313	-1.545384169	-0.643720722	-0.428958626	0.942300651	-0.727983915	-1.332625214	-0.710633603	1.292066808	-0.383577604	0.391263618	0.538947237	-0.804142255	1.223282904	-2.20821233	2.794001414	-0.215900604	0.471803515	-2.20821233	-0.231983494	0.024101798	-0.667426399	-0.373663142	-0.035224949	1.176336463	0.721903332	-0.305467425	1.270561315	-0.522810194	-0.563903336	-0.377134944	1.535735271	0.875241084	-0.746317412	0.855499261	0.470095282	2.855726475	0.822175054	-0.275564327	-0.545032183	0.434042972	-1.540953102	-0.208446992	0.037484756	0.421428292	0.061183902	-1.694737874	-1.614019734	0.342293637	1.471385736	-1.662588675	1.002806988	-1.885570338	-0.954806659	-0.169080979	1.725111598	-0.87311367	0.531058854	1.771296364	1.24739856	-0.330176739	0.497097128	-1.056087769	0.303428288	1.252077108	-0.443472877	-0.042027471	-1.677078096	2.071906258	0.548869454	0.055972993	-0.382655721	2.190933949	1.155045383	0.134979303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P|650655	-0.642043566	-0.667484441	0.438419295	0.247360185	-1.025825911	0.850606265	0.048255595	-0.010636911	-0.693990542	-0.59835926	-0.417518051	-0.689222569	-1.025825911	0.380889848	-0.302304204	-1.025825911	-0.627436302	-0.140813396	1.263998873	-0.528329774	1.997355081	-0.710798002	2.95662887	0.219243604	0.051904924	-0.100004301	-1.025825911	-0.000534703	-0.233436087	-0.461509358	-0.436248759	-0.099915128	0.226511724	0.171050839	-0.714356106	-0.666626165	-0.628530181	-0.053224253	-0.333071228	0.651874216	-0.667827989	-0.35020305	-1.025825911	1.860709841	0.633530418	-0.765319775	-1.025825911	-0.66525469	-0.049570836	-1.025825911	0.47993132	3.627563795	-0.738002386	0.402054745	-0.332721136	-1.025825911	1.798432939	-0.234199344	0.661106093	-0.358176537	0.006380615	-0.7016386	-0.008227277	-0.221861911	-0.403140399	0.605547848	-0.324592239	-0.34446784	-0.187611951	-1.025825911	-0.013295275	-1.025825911	0.247121318	-0.753542772	0.256034058	-0.469807402	3.06821692	0.125968003	-0.720542103	-0.77960176	-0.581816286	-0.728736554	-1.025825911	-0.497162387	-0.512055518	-0.292596121	-0.663030666	0.003009038	-1.025825911	0.7649086	-0.671156007	0.056655943	-0.699913374	-0.431571554	0.24891122	0.921720875	-0.352110002	0.518001922	-0.085910654	2.044396572	2.362453487	-1.025825911	-0.490090599	-0.468896632	1.228836337	0.552820118	0.911697125	-0.135377435	-0.400066267	-0.318258357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3|21	1.164031384	-1.101502281	-0.928742136	1.420008502	-0.310648791	-1.032930503	-0.565047097	0.814452992	0.333655106	0.251446832	-1.452124694	0.505051761	-0.605822162	-0.520402208	-1.093977702	-0.241415167	-0.664410936	-0.564146628	1.696936873	-0.94329754	1.14682618	-1.120763823	2.199006905	0.182362033	-0.910418339	1.377603769	0.960538043	0.403361779	1.013775504	0.546670412	0.22430549	-0.018200174	0.460148358	0.754273131	0.286814302	0.158895535	-0.55462124	0.847659523	-0.586927413	-1.717235477	-0.340788239	-1.250790739	-0.067260557	1.08740531	-0.188248609	-1.098974311	-0.663797244	-0.755794425	-0.439857161	-1.659743854	-0.972450771	1.429607001	-1.187840669	0.767492922	0.86097268	-1.155730241	1.58157529	-1.109801878	-1.017962351	1.070130983	0.935843593	0.451117409	0.370397823	0.995152177	1.109123387	1.615491123	-0.924222724	1.332522303	-1.070418039	-1.458247911	0.580387497	0.830814484	-0.759800591	-1.906707041	-0.206158284	0.989077378	1.654765072	1.012566943	-0.683129214	-0.839627499	-0.23565712	-0.830175889	-1.229538388	-0.376402067	-1.817464835	0.451260582	1.387500888	1.388587063	-0.621514964	-0.015446386	-0.123515341	1.175035346	-0.439675259	-0.782099722	2.27031187	0.723460651	-0.424495054	1.554996443	-1.357475047	1.191855989	0.86926039	-0.880644673	-0.93566524	0.063198616	0.159102889	-0.428287474	0.682702237	-1.039953435	1.010314898	0.646676212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6|23460	1.800845268	0.021287445	-0.68902132	0.382345161	0.687304554	-0.604438993	-0.571845633	1.824589975	0.932650754	1.386849139	-0.733396377	1.254623227	-0.63021654	-0.028706432	-1.011119415	-0.219080918	0.320370853	-0.083459342	1.001729358	-0.873478835	1.196087326	-0.811602401	-1.436325123	1.250065904	-0.304832186	1.008752891	1.202498498	1.94165017	2.245155518	1.571388185	1.91115033	1.296831356	2.138060086	1.633262311	1.219176337	1.835506834	1.344434519	0.217732017	-0.066368682	-1.080629847	-0.935957205	-0.652635447	-0.130192603	0.752633069	1.463704066	-0.922620551	0.851902075	-0.436704151	-0.362530642	-1.053905868	-0.226203019	-0.112155492	-1.313778766	2.61152367	0.127843068	-1.464823884	1.251414835	-0.839741008	0.165487167	-1.010705881	1.638507843	1.989236686	1.358974623	1.352971857	2.339780538	2.152063852	-0.759303141	1.178682197	-1.72586669	0.118839863	-1.03120506	-0.709618709	-0.153973008	-1.72586669	-0.919069762	0.988046135	-0.444948357	0.34656104	-0.017171337	-0.32184161	-0.279281456	-1.482701118	-0.518795551	-0.105734258	-0.472663043	-1.275408837	0.145088674	-0.989879156	-1.19934756	-0.635431715	-0.510480526	-0.623631347	0.420104364	0.055249923	1.088821403	0.424636883	-0.149934608	-1.72586669	-0.130520902	-0.42254585	-1.357668066	0.480992102	-0.265289223	1.003342219	0.705072923	-0.74933383	0.877981365	-0.85952314	1.639955446	1.410887663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
